+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                        ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                    ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_017|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_017                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_016|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_016                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_015|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_015                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_014|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_014                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_013|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_013                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_012|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_012                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_011|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_011                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_010|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_010                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_009|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_009                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_008|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_008                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_007|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_007                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_006|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_006                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_005|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_005                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_004|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_004                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_003|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_003                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_002|the_default_decode                                                                                       ; 0     ; 23             ; 0            ; 23             ; 23     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_002                                                                                                          ; 106   ; 0              ; 2            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_001|the_default_decode                                                                                       ; 0     ; 28             ; 0            ; 28             ; 28     ; 28              ; 28            ; 28              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router_001                                                                                                          ; 106   ; 0              ; 7            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router|the_default_decode                                                                                           ; 0     ; 28             ; 0            ; 28             ; 28     ; 28              ; 28            ; 28              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|router                                                                                                              ; 106   ; 0              ; 7            ; 0              ; 127    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|watchdog_s1_agent_rsp_fifo                                                                                          ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|watchdog_s1_agent|uncompressor                                                                                      ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|watchdog_s1_agent                                                                                                   ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|alarm_select_s1_agent_rsp_fifo                                                                                      ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|alarm_select_s1_agent|uncompressor                                                                                  ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|alarm_select_s1_agent                                                                                               ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|led_timer_s1_agent_rsp_fifo                                                                                         ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|led_timer_s1_agent|uncompressor                                                                                     ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|led_timer_s1_agent                                                                                                  ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|status_led_s1_agent_rsp_fifo                                                                                        ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|status_led_s1_agent|uncompressor                                                                                    ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|status_led_s1_agent                                                                                                 ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|power_led_s1_agent_rsp_fifo                                                                                         ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|power_led_s1_agent|uncompressor                                                                                     ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|power_led_s1_agent                                                                                                  ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|sda_s1_agent_rsp_fifo                                                                                               ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|sda_s1_agent|uncompressor                                                                                           ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|sda_s1_agent                                                                                                        ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|scl_s1_agent_rsp_fifo                                                                                               ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|scl_s1_agent|uncompressor                                                                                           ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|scl_s1_agent                                                                                                        ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|onchip_memory_s1_agent_rsp_fifo                                                                                     ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|onchip_memory_s1_agent|uncompressor                                                                                 ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|onchip_memory_s1_agent                                                                                              ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_cs_s1_agent_rsp_fifo                                                                                          ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_cs_s1_agent|uncompressor                                                                                      ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_cs_s1_agent                                                                                                   ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_int_s1_agent_rsp_fifo                                                                                         ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_int_s1_agent|uncompressor                                                                                     ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_int_s1_agent                                                                                                  ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_rst_s1_agent_rsp_fifo                                                                                         ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_rst_s1_agent|uncompressor                                                                                     ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_rst_s1_agent                                                                                                  ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|laser_fifo_out_agent_rsp_fifo                                                                                       ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|laser_fifo_out_agent|uncompressor                                                                                   ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|laser_fifo_out_agent                                                                                                ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spird_fifo_out_agent_rsp_fifo                                                                                       ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spird_fifo_out_agent|uncompressor                                                                                   ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spird_fifo_out_agent                                                                                                ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spird_fifo_in_csr_agent_rsp_fifo                                                                                    ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spird_fifo_in_csr_agent|uncompressor                                                                                ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spird_fifo_in_csr_agent                                                                                             ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spiwr_fifo_in_csr_agent_rsp_fifo                                                                                    ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spiwr_fifo_in_csr_agent|uncompressor                                                                                ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spiwr_fifo_in_csr_agent                                                                                             ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|protocol_fifo_in_csr_agent_rsp_fifo                                                                                 ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|protocol_fifo_in_csr_agent|uncompressor                                                                             ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|protocol_fifo_in_csr_agent                                                                                          ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|laser_fifo_in_csr_agent_rsp_fifo                                                                                    ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|laser_fifo_in_csr_agent|uncompressor                                                                                ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|laser_fifo_in_csr_agent                                                                                             ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spiwr_fifo_in_agent_rsp_fifo                                                                                        ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spiwr_fifo_in_agent|uncompressor                                                                                    ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|spiwr_fifo_in_agent                                                                                                 ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|protocol_fifo_in_agent_rsp_fifo                                                                                     ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|protocol_fifo_in_agent|uncompressor                                                                                 ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|protocol_fifo_in_agent                                                                                              ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|epcs_flash_epcs_control_port_agent_rsp_fifo                                                                         ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|epcs_flash_epcs_control_port_agent|uncompressor                                                                     ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|epcs_flash_epcs_control_port_agent                                                                                  ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|nios2_debug_mem_slave_agent_rsp_fifo                                                                                ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|nios2_debug_mem_slave_agent|uncompressor                                                                            ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|nios2_debug_mem_slave_agent                                                                                         ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|sysid_control_slave_agent_rsp_fifo                                                                                  ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|sysid_control_slave_agent|uncompressor                                                                              ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|sysid_control_slave_agent                                                                                           ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|jtag_uart_avalon_jtag_slave_agent_rsp_fifo                                                                          ; 146   ; 39             ; 0            ; 39             ; 105    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|jtag_uart_avalon_jtag_slave_agent|uncompressor                                                                      ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|jtag_uart_avalon_jtag_slave_agent                                                                                   ; 308   ; 39             ; 60           ; 39             ; 308    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|nios2_instruction_master_agent                                                                                      ; 192   ; 41             ; 95           ; 41             ; 138    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|nios2_data_master_agent                                                                                             ; 192   ; 41             ; 95           ; 41             ; 138    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|watchdog_s1_translator                                                                                              ; 87    ; 22             ; 36           ; 22             ; 55     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|alarm_select_s1_translator                                                                                          ; 103   ; 6              ; 21           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|led_timer_s1_translator                                                                                             ; 87    ; 22             ; 36           ; 22             ; 55     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|status_led_s1_translator                                                                                            ; 103   ; 6              ; 21           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|power_led_s1_translator                                                                                             ; 103   ; 6              ; 21           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|sda_s1_translator                                                                                                   ; 103   ; 6              ; 21           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|scl_s1_translator                                                                                                   ; 103   ; 6              ; 21           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|onchip_memory_s1_translator                                                                                         ; 103   ; 7              ; 4            ; 7              ; 89     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_cs_s1_translator                                                                                              ; 103   ; 6              ; 21           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_int_s1_translator                                                                                             ; 103   ; 6              ; 21           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|w5500_rst_s1_translator                                                                                             ; 103   ; 6              ; 21           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_topEx01|kernelEx01|mm_interconnect_0|laser_fifo_out_translator                                                                                           ; 103   ; 5              ; 19           ; 5              ; 36     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
